Open Date,Close Date,Symbol,Action,Units/Lots,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
08/01/2025 15:35,08/01/2025 17:28,EURUSD,Sell,0.020,1.15808,1.15377,-0.2000,0.0000,43.1,8.42,0.05,00:01:52:28,99.2,1h 51m,32.9,0.08,43.3,8.66,-3.6,-0.7200000000000001,92.3,99.6,-0.20,-0.04
08/01/2025 14:53,08/01/2025 17:28,EURUSD,Sell,0.010,1.15557,1.15377,-0.1000,0.0000,18.0,1.70,0.01,00:02:34:21,37.5,57m,44.1,1.58,18.2,1.82,-28.7,-2.87,38.8,99.6,-0.20,-0.02
08/01/2025 14:45,08/01/2025 17:28,EURUSD,Sell,0.010,1.15300,1.15377,-0.1000,0.0000,-7.7,-0.87,0.00,00:02:43:00,0.0,0s,54.4,54.64,0.0,0.0,-54.4,-5.44,0.0,85.8,-7.70,-0.77
07/30/2025 21:03,08/01/2025 14:31,EURUSD,Buy,0.080,1.14223,1.14667,-0.8000,-3.8900,44.4,30.83,0.17,01:17:27:54,55.1,22h 50m,64.7,0.48,59.6,47.68000000000001,-28.6,-22.880000000000003,67.6,82.8,-15.20,-12.16
07/30/2025 20:45,08/01/2025 14:31,EURUSD,Buy,0.040,1.14565,1.14667,-0.4000,-1.9500,10.2,1.73,0.01,01:17:45:30,0.8,20m,64.7,2.47,25.4,10.16,-62.8,-25.12,28.8,82.8,-15.20,-6.08
07/30/2025 14:34,08/01/2025 14:31,EURUSD,Buy,0.020,1.14917,1.14667,-0.2000,-0.9700,-25.0,-6.17,-0.03,01:23:56:46,0.0,0s,98.0,98.04,0.0,0.0,-98.0,-19.6,0.0,74.5,-25.00,-5.00
07/30/2025 14:15,08/01/2025 14:31,EURUSD,Buy,0.010,1.15167,1.14667,-0.1000,-0.4900,-50.0,-5.59,-0.03,02:00:16:09,0.0,0s,123.0,123.46,0.0,0.0,-123.0,-12.3,0.0,59.3,-50.00,-5.00
07/30/2025 12:30,08/01/2025 14:31,EURUSD,Buy,0.010,1.15421,1.14667,-0.1000,-0.4900,-75.4,-8.13,-0.04,02:02:01:11,0.0,0s,148.4,149.25,0.0,0.0,-148.4,-14.840000000000002,0.0,49.2,-75.40,-7.54
07/29/2025 14:15,07/30/2025 03:00,EURUSD,Buy,0.010,1.15353,1.15684,-0.1000,-0.1200,33.1,3.09,0.02,00:12:45:01,78.4,9h 59m,23.3,0.46,33.5,3.35,-15.3,-1.5300000000000002,68.6,99.2,-0.40,-0.04
07/29/2025 09:10,07/29/2025 11:28,EURUSD,Buy,0.320,1.15273,1.15793,-3.2000,0.0000,52.0,163.20,0.89,00:02:17:48,100.0,2h 17m,12.3,0.02,53.5,171.20000000000002,0.0,0.0,100.0,97.2,-1.50,-4.80
