Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(EUR),Min(pips),Min(EUR),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(EUR)
07/31/2025 13:58,07/31/2025 14:00,XAUUSD,Buy,1.360,0.00000,0.00000,3295.61000,3296.46000,-13.6000,0.0000,85.0,87.45,0.27,00:00:02:01,,,,,,,,,,,,
07/31/2025 13:56,07/31/2025 14:00,XAUUSD,Buy,1.360,0.00000,0.00000,3296.22000,3296.52000,-13.6000,0.0000,30.0,22.06,0.07,00:00:04:01,100.0,4m,600.0,0.00,630.0,749.6999999999999,0.0,0.0,100.0,4.8,-600.00,-714.00
07/31/2025 13:55,07/31/2025 14:00,XAUUSD,Buy,1.360,0.00000,0.00000,3296.47000,3296.56000,-13.6000,0.0000,9.0,-2.90,-0.01,00:00:05:01,100.0,5m,763.0,0.00,772.0,918.68,0.0,0.0,100.0,1.2,-763.00,-907.97
07/31/2025 13:59,07/31/2025 14:00,XAUUSD,Buy,1.360,0.00000,0.00000,3295.21000,3296.57000,-13.6000,0.0000,136.0,148.07,0.46,00:00:01:00,,,,,,,,,,,,
07/29/2025 11:19,07/29/2025 11:22,XAUUSD,Sell,1.360,0.00000,0.00000,3327.38000,3326.86000,-13.6000,0.0000,52.0,47.55,0.15,00:00:03:36,,,,,,,,,,,,
07/29/2025 11:20,07/29/2025 11:22,XAUUSD,Sell,1.360,0.00000,0.00000,3329.48000,3326.95000,-13.6000,0.0000,253.0,283.91,0.89,00:00:02:35,,,,,,,,,,,,
07/28/2025 17:00,07/28/2025 17:00,XAUUSD,Buy,1.360,0.00000,0.00000,3302.40000,3305.44000,-13.6000,0.0000,304.0,341.74,1.08,00:00:00:39,,,,,,,,,,,,
07/24/2025 12:33,07/24/2025 12:33,XAUUSD,Buy,1.360,0.00000,0.00000,3362.44000,3363.62000,-13.6000,0.0000,118.0,122.94,0.39,00:00:00:57,,,,,,,,,,,,
07/24/2025 12:32,07/24/2025 12:33,XAUUSD,Buy,1.360,0.00000,0.00000,3362.84000,3363.76000,-13.6000,0.0000,92.0,92.85,0.30,00:00:01:57,,,,,,,,,,,,
07/24/2025 12:31,07/24/2025 12:33,XAUUSD,Buy,1.360,0.00000,0.00000,3363.00000,3363.78000,-13.6000,0.0000,78.0,76.65,0.25,00:00:02:57,,,,,,,,,,,,
07/24/2025 12:30,07/24/2025 12:33,XAUUSD,Buy,1.360,0.00000,0.00000,3363.22000,3363.78000,-13.6000,0.0000,56.0,51.20,0.16,00:00:03:57,,,,,,,,,,,,
07/21/2025 03:29,07/21/2025 03:53,XAUUSD,Sell,1.360,0.00000,0.00000,3351.50000,3352.52000,-13.6000,0.0000,-102.0,-132.95,-0.42,00:00:24:48,20.0,4m,108.0,17.01,6.0,7.02,-102.0,-119.33999999999999,5.6,0.0,-108.00,-126.36
07/21/2025 03:28,07/21/2025 03:53,XAUUSD,Sell,1.360,0.00000,0.00000,3351.04000,3352.52000,-13.6000,0.0000,-148.0,-186.78,-0.59,00:00:25:48,0.0,0s,148.0,149.25,0.0,0.0,-148.0,-173.16,0.0,0.0,-148.00,-173.16
07/21/2025 03:37,07/21/2025 03:53,XAUUSD,Sell,1.360,0.00000,0.00000,3353.58000,3352.50000,-13.6000,0.0000,108.0,112.76,0.36,00:00:16:47,,,,,,,,,,,,
07/21/2025 03:36,07/21/2025 03:53,XAUUSD,Sell,1.360,0.00000,0.00000,3353.37000,3352.50000,-13.6000,0.0000,87.0,88.19,0.28,00:00:17:47,,,,,,,,,,,,
07/21/2025 03:35,07/21/2025 03:53,XAUUSD,Sell,1.360,0.00000,0.00000,3352.98000,3352.50000,-13.6000,0.0000,48.0,42.56,0.14,00:00:18:47,,,,,,,,,,,,
07/21/2025 03:31,07/21/2025 03:53,XAUUSD,Sell,1.360,0.00000,0.00000,3352.52000,3352.50000,-13.6000,0.0000,2.0,-11.26,-0.04,00:00:22:47,100.0,22m,106.0,0.01,108.0,126.35999999999999,0.0,0.0,100.0,1.9,-106.00,-124.02
07/21/2025 03:30,07/21/2025 03:53,XAUUSD,Sell,1.360,0.00000,0.00000,3351.78000,3352.50000,-13.6000,0.0000,-72.0,-97.85,-0.31,00:00:23:47,40.0,9m,106.0,2.12,34.0,39.78,-72.0,-84.24,32.1,0.0,-106.00,-124.02
07/21/2025 03:51,07/21/2025 03:53,XAUUSD,Sell,1.360,0.00000,0.00000,3354.56000,3352.63000,-13.6000,0.0000,193.0,212.21,0.68,00:00:02:46,,,,,,,,,,,,
07/21/2025 03:50,07/21/2025 03:53,XAUUSD,Sell,1.360,0.00000,0.00000,3354.05000,3352.60000,-13.6000,0.0000,145.0,156.05,0.50,00:00:03:46,,,,,,,,,,,,
07/21/2025 03:47,07/21/2025 03:53,XAUUSD,Sell,1.360,0.00000,0.00000,3353.75000,3352.49000,-13.6000,0.0000,126.0,133.82,0.43,00:00:06:46,,,,,,,,,,,,
07/15/2025 08:18,07/15/2025 08:30,XAUUSD,Sell,1.360,0.00000,0.00000,3363.25000,3362.87000,-13.6000,0.0000,38.0,30.64,0.10,00:00:12:05,100.0,12m,546.0,0.00,584.0,677.4399999999999,0.0,0.0,100.0,6.5,-546.00,-633.36
